agent_id,team,site,schedule_date,shift_type,scheduled_start,scheduled_end,scheduled_break_start,scheduled_break_end,scheduled_hours,queue_assignment,roster_status
61582253126069,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,Teleperformance-Dublin,4/13/2026,DAY,4/13/2026 09:00,4/13/2026 17:30,4/13/2026 13:00,4/13/2026 13:30,8.5,QUEUE_EMAIL_BACKLOG,SCHEDULED
61582253126069,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,Teleperformance-Dublin,4/14/2026,DAY,4/14/2026 09:00,4/14/2026 17:30,4/14/2026 13:00,4/14/2026 13:30,8.5,QUEUE_EMAIL_BACKLOG,SCHEDULED
61583018368573,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,Teleperformance-Dublin,4/12/2026,WEEKEND,4/12/2026 10:00,4/12/2026 16:00,4/12/2026 12:30,4/12/2026 13:00,6.0,QUEUE_EMAIL,SCHEDULED
61583018368573,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,Teleperformance-Dublin,4/13/2026,MORNING,4/13/2026 08:00,4/13/2026 16:30,4/13/2026 12:00,4/13/2026 12:30,8.5,QUEUE_EMAIL,SCHEDULED
61583018368573,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,Teleperformance-Dublin,4/14/2026,MORNING,4/14/2026 08:00,4/14/2026 16:30,4/14/2026 12:00,4/14/2026 12:30,8.5,QUEUE_EMAIL,SCHEDULED
61585038341143,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,Teleperformance-Dublin,4/12/2026,WEEKEND,4/12/2026 10:00,4/12/2026 16:00,4/12/2026 12:30,4/12/2026 13:00,6.0,QUEUE_EMAIL,SCHEDULED
61585038341143,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,Teleperformance-Dublin,4/13/2026,DAY,4/13/2026 09:00,4/13/2026 17:30,4/13/2026 13:00,4/13/2026 13:30,8.5,QUEUE_EMAIL_BACKLOG,SCHEDULED
61585038341143,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,Teleperformance-Dublin,4/14/2026,DAY,4/14/2026 09:00,4/14/2026 17:30,4/14/2026 13:00,4/14/2026 13:30,8.5,QUEUE_EMAIL_BACKLOG,SCHEDULED
61587856425159,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,Teleperformance-Dublin,4/12/2026,WEEKEND,4/12/2026 10:00,4/12/2026 16:00,4/12/2026 12:30,4/12/2026 13:00,6.0,QUEUE_EMAIL,SCHEDULED
61587856425159,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,Teleperformance-Dublin,4/13/2026,MORNING,4/13/2026 08:00,4/13/2026 16:30,4/13/2026 12:00,4/13/2026 12:30,8.5,QUEUE_EMAIL,SCHEDULED
61587856425159,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,Teleperformance-Dublin,4/14/2026,MORNING,4/14/2026 08:00,4/14/2026 16:30,4/14/2026 12:00,4/14/2026 12:30,8.5,QUEUE_EMAIL,SCHEDULED
61588190284154,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,Teleperformance-Dublin,4/12/2026,WEEKEND,4/12/2026 10:00,4/12/2026 16:00,4/12/2026 12:30,4/12/2026 13:00,6.0,QUEUE_EMAIL,SCHEDULED
61588190284154,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,Teleperformance-Dublin,4/13/2026,DAY,4/13/2026 09:00,4/13/2026 17:30,4/13/2026 13:00,4/13/2026 13:30,8.5,QUEUE_EMAIL_BACKLOG,SCHEDULED
61588190284154,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,Teleperformance-Dublin,4/14/2026,DAY,4/14/2026 09:00,4/14/2026 17:30,4/14/2026 13:00,4/14/2026 13:30,8.5,QUEUE_EMAIL_BACKLOG,SCHEDULED
61588377774860,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,Teleperformance-Dublin,4/12/2026,WEEKEND,4/12/2026 10:00,4/12/2026 16:00,4/12/2026 12:30,4/12/2026 13:00,6.0,QUEUE_EMAIL,SCHEDULED
61588377774860,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,Teleperformance-Dublin,4/13/2026,MORNING,4/13/2026 08:00,4/13/2026 16:30,4/13/2026 12:00,4/13/2026 12:30,8.5,QUEUE_EMAIL,SCHEDULED
61588377774860,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,Teleperformance-Dublin,4/14/2026,MORNING,4/14/2026 08:00,4/14/2026 16:30,4/14/2026 12:00,4/14/2026 12:30,8.5,QUEUE_EMAIL,SCHEDULED
61588388064451,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,Teleperformance-Dublin,4/12/2026,WEEKEND,4/12/2026 10:00,4/12/2026 16:00,4/12/2026 12:30,4/12/2026 13:00,6.0,QUEUE_EMAIL,SCHEDULED
61588388064451,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,Teleperformance-Dublin,4/13/2026,DAY,4/13/2026 09:00,4/13/2026 17:30,4/13/2026 13:00,4/13/2026 13:30,8.5,QUEUE_EMAIL_BACKLOG,SCHEDULED
61588388064451,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,Teleperformance-Dublin,4/14/2026,DAY,4/14/2026 09:00,4/14/2026 17:30,4/14/2026 13:00,4/14/2026 13:30,8.5,QUEUE_EMAIL_BACKLOG,SCHEDULED
61588389996727,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,Teleperformance-Dublin,4/12/2026,WEEKEND,4/12/2026 10:00,4/12/2026 16:00,4/12/2026 12:30,4/12/2026 13:00,6.0,QUEUE_EMAIL,SCHEDULED
61588389996727,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,Teleperformance-Dublin,4/13/2026,MORNING,4/13/2026 08:00,4/13/2026 16:30,4/13/2026 12:00,4/13/2026 12:30,8.5,QUEUE_EMAIL,SCHEDULED
61588389996727,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,Teleperformance-Dublin,4/14/2026,MORNING,4/14/2026 08:00,4/14/2026 16:30,4/14/2026 12:00,4/14/2026 12:30,8.5,QUEUE_EMAIL,SCHEDULED
100071773725249,Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,Teleperformance-Dublin,4/12/2026,WEEKEND,4/12/2026 10:00,4/12/2026 16:00,4/12/2026 12:30,4/12/2026 13:00,6.0,QUEUE_EMAIL,SCHEDULED
100071773725249,Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,Teleperformance-Dublin,4/13/2026,DAY,4/13/2026 09:00,4/13/2026 17:30,4/13/2026 13:00,4/13/2026 13:30,8.5,QUEUE_EMAIL_BACKLOG,SCHEDULED
100071773725249,Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,Teleperformance-Dublin,4/14/2026,DAY,4/14/2026 09:00,4/14/2026 17:30,4/14/2026 13:00,4/14/2026 13:30,8.5,QUEUE_EMAIL_BACKLOG,SCHEDULED
61580771977862,Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,Teleperformance-Dublin,4/12/2026,WEEKEND,4/12/2026 10:00,4/12/2026 16:00,4/12/2026 12:30,4/12/2026 13:00,6.0,QUEUE_EMAIL,SCHEDULED
61580771977862,Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,Teleperformance-Dublin,4/13/2026,MORNING,4/13/2026 08:00,4/13/2026 16:30,4/13/2026 12:00,4/13/2026 12:30,8.5,QUEUE_EMAIL,SCHEDULED
61580771977862,Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,Teleperformance-Dublin,4/14/2026,MORNING,4/14/2026 08:00,4/14/2026 16:30,4/14/2026 12:00,4/14/2026 12:30,8.5,QUEUE_EMAIL,SCHEDULED
61580818484348,Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,Teleperformance-Dublin,4/12/2026,WEEKEND,4/12/2026 10:00,4/12/2026 16:00,4/12/2026 12:30,4/12/2026 13:00,6.0,QUEUE_EMAIL,SCHEDULED
61580818484348,Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,Teleperformance-Dublin,4/13/2026,DAY,4/13/2026 09:00,4/13/2026 17:30,4/13/2026 13:00,4/13/2026 13:30,8.5,QUEUE_EMAIL_BACKLOG,SCHEDULED
61580818484348,Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,Teleperformance-Dublin,4/14/2026,DAY,4/14/2026 09:00,4/14/2026 17:30,4/14/2026 13:00,4/14/2026 13:30,8.5,QUEUE_EMAIL_BACKLOG,SCHEDULED
61581055615480,Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,Teleperformance-Dublin,4/12/2026,WEEKEND,4/12/2026 10:00,4/12/2026 16:00,4/12/2026 12:30,4/12/2026 13:00,6.0,QUEUE_EMAIL,SCHEDULED
61581055615480,Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,Teleperformance-Dublin,4/13/2026,MORNING,4/13/2026 08:00,4/13/2026 16:30,4/13/2026 12:00,4/13/2026 12:30,8.5,QUEUE_EMAIL,SCHEDULED
61581055615480,Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,Teleperformance-Dublin,4/14/2026,MORNING,4/14/2026 08:00,4/14/2026 16:30,4/14/2026 12:00,4/14/2026 12:30,8.5,QUEUE_EMAIL,SCHEDULED
61581509267603,Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,Teleperformance-Dublin,4/12/2026,WEEKEND,4/12/2026 10:00,4/12/2026 16:00,4/12/2026 12:30,4/12/2026 13:00,6.0,QUEUE_EMAIL,SCHEDULED
61581509267603,Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,Teleperformance-Dublin,4/13/2026,DAY,4/13/2026 09:00,4/13/2026 17:30,4/13/2026 13:00,4/13/2026 13:30,8.5,QUEUE_EMAIL_BACKLOG,ABSENT_SICK
61581509267603,Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,Teleperformance-Dublin,4/14/2026,DAY,4/14/2026 09:00,4/14/2026 17:30,4/14/2026 13:00,4/14/2026 13:30,8.5,QUEUE_EMAIL_BACKLOG,SCHEDULED
61581904917164,Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,Teleperformance-Dublin,4/12/2026,WEEKEND,4/12/2026 10:00,4/12/2026 16:00,4/12/2026 12:30,4/12/2026 13:00,6.0,QUEUE_EMAIL,SCHEDULED
61581904917164,Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,Teleperformance-Dublin,4/13/2026,MORNING,4/13/2026 08:00,4/13/2026 16:30,4/13/2026 12:00,4/13/2026 12:30,8.5,QUEUE_EMAIL,SCHEDULED
61581904917164,Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,Teleperformance-Dublin,4/14/2026,MORNING,4/14/2026 08:00,4/14/2026 16:30,4/14/2026 12:00,4/14/2026 12:30,8.5,QUEUE_EMAIL,SCHEDULED
61581980363535,Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,Teleperformance-Dublin,4/12/2026,WEEKEND,4/12/2026 10:00,4/12/2026 16:00,4/12/2026 12:30,4/12/2026 13:00,6.0,QUEUE_EMAIL,SCHEDULED
61581980363535,Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,Teleperformance-Dublin,4/13/2026,DAY,4/13/2026 09:00,4/13/2026 17:30,4/13/2026 13:00,4/13/2026 13:30,8.5,QUEUE_EMAIL_BACKLOG,SCHEDULED
61581980363535,Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,Teleperformance-Dublin,4/14/2026,DAY,4/14/2026 09:00,4/14/2026 17:30,4/14/2026 13:00,4/14/2026 13:30,8.5,QUEUE_EMAIL_BACKLOG,SCHEDULED
61588063300667,Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,Teleperformance-Dublin,4/12/2026,WEEKEND,4/12/2026 10:00,4/12/2026 16:00,4/12/2026 12:30,4/12/2026 13:00,6.0,QUEUE_EMAIL,SCHEDULED
61588063300667,Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,Teleperformance-Dublin,4/13/2026,MORNING,4/13/2026 08:00,4/13/2026 16:30,4/13/2026 12:00,4/13/2026 12:30,8.5,QUEUE_EMAIL,SCHEDULED
61588063300667,Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,Teleperformance-Dublin,4/14/2026,MORNING,4/14/2026 08:00,4/14/2026 16:30,4/14/2026 12:00,4/14/2026 12:30,8.5,QUEUE_EMAIL,SCHEDULED
61588449381350,Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,Teleperformance-Dublin,4/12/2026,WEEKEND,4/12/2026 10:00,4/12/2026 16:00,4/12/2026 12:30,4/12/2026 13:00,6.0,QUEUE_EMAIL,SCHEDULED
61588449381350,Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,Teleperformance-Dublin,4/13/2026,DAY,4/13/2026 09:00,4/13/2026 17:30,4/13/2026 13:00,4/13/2026 13:30,8.5,QUEUE_EMAIL_BACKLOG,SCHEDULED
61588449381350,Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,Teleperformance-Dublin,4/14/2026,DAY,4/14/2026 09:00,4/14/2026 17:30,4/14/2026 13:00,4/14/2026 13:30,8.5,QUEUE_EMAIL_BACKLOG,SCHEDULED
